date,source,sentence,topic,people (keyword count in url),crops (keyword count in url),homes (keyword count in url),money (keyword count in url),importance (keyword count in url),location
7/17/19,https://www.tribuneindia.com/news/punjab/from-deficit-to-10-surplus-rain-in-punjab/803143.html,"ush({ });  record rainfall drowns bathinda fields in moga flooded as sutlej swells school turns into pond, kids at risk gushing ghaggar floods patiala villages   the rainfall in punjab, which till a few days ago was deficient by almost 50 per cent, is now 10 per cent above the long-term average",death,1,3,4,0,8,"amritsar, bathinda, ferozepur, gurdaspur, hoshiarpur, jalandhar, moga, patiala, sas nagar"
7/17/19,https://www.tribuneindia.com/news/punjab/record-rainfall-drowns-bathinda/803032.html,"of nealy 80 cows inside the shelter, 37 died in the incident",death,5,4,7,1,17,bathinda
2/1/19,https://www.tribuneindia.com/news/punjab/amrita-s-works-reflect-partition-pangs-prof/721877.html,"it reignited memories of the great calcutta killings of 1946 and the sufferings of millions of refugees, who flooded the city in the aftermath of partition",death,6,1,1,0,8,patiala
9/25/18,https://www.tribuneindia.com/news/punjab/8-month-old-girl-drowns-in-jalandhar/658400.html,8-month-old girl drowns in jalandhar,death,6,3,0,0,9,jalandhar
9/25/18,https://www.tribuneindia.com/news/punjab/8-month-old-girl-drowns-in-jalandhar/658400.html,"jalandhar, september 24 a rajasthani woman’s eight-month-old daughter drowned after rainwater flooded their kiosk here on sunday night",death,6,3,0,0,9,jalandhar
12/7/17,https://www.tribuneindia.com/news/punjab/bills-pending-hc-asks-ag-if-state-in-deep-fiscal-crisis/509323.html, justice rajan gupta’s bench also set six-week deadline for advocate-general atul nanda to come out with his response on the issue after holding a meeting with the finance department officers,death,2,0,1,0,3,punjab
7/1/17,https://www.tribuneindia.com/news/punjab/heavy-rain-in-mansa-man-electrocuted/429959.html,"nikhila pant dhawan tribune news service mansa, june 30 a shopkeeper was electrocuted to death here today following a heavy rainfall",death,10,0,7,0,17,mansa
5/29/16,https://www.tribuneindia.com/news/crime/bhagat-singh-s-grandnephew-and-aap-activist-abhitej-killed-in-mishap/243788.html,"ush({ });  abhitej sandhu, grandnephew of shaheed bhagat singh and an aap activist, died after he sustained grave injuries in a motorcycle accident at maglad, near rampur in shimla district, about 135 km from here, late on saturday evening",death,13,4,3,0,20,"sas nagar, sbs nagar"
5/13/16,https://www.tribuneindia.com/news/community/six-booked-for-attacking-power-dept-staff/235983.html,"as per the police complaint, chamkaur singh alleged that his father jagdish singh killed his mother sukhpal kaur (38)",death,6,4,10,0,20,"sri muktsar sahib, tarn taran"
5/5/16,https://www.tribuneindia.com/news/community/heard-of-kidnapping-what-relief-in-the-end/232170.html,"ush({ });  read all about gangsters at work in punjab:  kidnapped patiala schoolgirl freed in 6 hours 4 incidents in a month have cops worried 70 active gangs, over 500 gangsters and counting gangsters fire at rivals, kill 1 where crime is law don’t let gangsters become heroes, sukhbir tells police    the civil lines sho was not available, so i called up area dsp harpal",death,2,1,7,0,10,patiala
